 Step                 Time   Function       RMSE       RMSE
=====  ===================  =========  =========  =========
  106  2015-11-18T12:46:18  2.582e-03  5.357e-03  0.000e+00
  107  2015-11-18T12:46:18  2.492e-03  5.262e-03  0.000e+00
  108  2015-11-18T12:46:18  2.465e-03  5.233e-03  0.000e+00
  109  2015-11-18T12:46:18  2.432e-03  5.198e-03  0.000e+00
  110  2015-11-18T12:46:18  2.359e-03  5.119e-03  0.000e+00
  111  2015-11-18T12:46:18  2.346e-03  5.106e-03  0.000e+00
  112  2015-11-18T12:46:18  2.314e-03  5.071e-03  0.000e+00
  113  2015-11-18T12:46:18  2.260e-03  5.011e-03  0.000e+00
  114  2015-11-18T12:46:18  2.192e-03  4.935e-03  0.000e+00
  115  2015-11-18T12:46:18  2.142e-03  4.878e-03  0.000e+00
  116  2015-11-18T12:46:18  2.107e-03  4.838e-03  0.000e+00
  117  2015-11-18T12:46:18  2.098e-03  4.829e-03  0.000e+00
  118  2015-11-18T12:46:18  2.084e-03  4.812e-03  0.000e+00
  119  2015-11-18T12:46:18  2.067e-03  4.793e-03  0.000e+00
  120  2015-11-18T12:46:19  2.044e-03  4.766e-03  0.000e+00
  121  2015-11-18T12:46:19  2.015e-03  4.732e-03  0.000e+00
  122  2015-11-18T12:46:19  1.983e-03  4.694e-03  0.000e+00
  123  2015-11-18T12:46:19  1.935e-03  4.637e-03  0.000e+00
  124  2015-11-18T12:46:19  1.893e-03  4.587e-03  0.000e+00
  125  2015-11-18T12:46:19  2.190e-03  4.933e-03  0.000e+00
  126  2015-11-18T12:46:19  1.883e-03  4.574e-03  0.000e+00
  127  2015-11-18T12:46:19  1.866e-03  4.554e-03  0.000e+00
  128  2015-11-18T12:46:19  1.845e-03  4.528e-03  0.000e+00
  129  2015-11-18T12:46:19  1.822e-03  4.500e-03  0.000e+00
  130  2015-11-18T12:46:19  1.793e-03  4.464e-03  0.000e+00
  131  2015-11-18T12:46:19  1.744e-03  4.402e-03  0.000e+00
  132  2015-11-18T12:46:19  1.664e-03  4.300e-03  0.000e+00
  133  2015-11-18T12:46:19  1.583e-03  4.193e-03  0.000e+00
  134  2015-11-18T12:46:19  1.487e-03  4.065e-03  0.000e+00
  135  2015-11-18T12:46:19  1.407e-03  3.953e-03  0.000e+00
  136  2015-11-18T12:46:19  1.364e-03  3.894e-03  0.000e+00
  137  2015-11-18T12:46:19  1.306e-03  3.809e-03  0.000e+00
  138  2015-11-18T12:46:19  1.249e-03  3.725e-03  0.000e+00
  139  2015-11-18T12:46:19  1.205e-03  3.660e-03  0.000e+00
  140  2015-11-18T12:46:19  1.129e-03  3.543e-03  0.000e+00
  141  2015-11-18T12:46:19  1.082e-03  3.468e-03  0.000e+00
  142  2015-11-18T12:46:19  1.070e-03  3.448e-03  0.000e+00
  143  2015-11-18T12:46:19  9.915e-04  3.319e-03  0.000e+00
  144  2015-11-18T12:46:19  9.101e-04  3.180e-03  0.000e+00
  145  2015-11-18T12:46:19  1.095e-03  3.489e-03  0.000e+00
  146  2015-11-18T12:46:19  8.766e-04  3.121e-03  0.000e+00
  147  2015-11-18T12:46:19  8.572e-04  3.086e-03  0.000e+00
  148  2015-11-18T12:46:19  8.365e-04  3.049e-03  0.000e+00
  149  2015-11-18T12:46:19  8.339e-04  3.044e-03  0.000e+00
  150  2015-11-18T12:46:19  8.294e-04  3.036e-03  0.000e+00
  151  2015-11-18T12:46:19  8.233e-04  3.025e-03  0.000e+00
  152  2015-11-18T12:46:19  8.189e-04  3.017e-03  0.000e+00
  153  2015-11-18T12:46:19  8.117e-04  3.003e-03  0.000e+00
  154  2015-11-18T12:46:19  7.994e-04  2.980e-03  0.000e+00
  155  2015-11-18T12:46:19  7.821e-04  2.948e-03  0.000e+00
  156  2015-11-18T12:46:20  7.765e-04  2.937e-03  0.000e+00
  157  2015-11-18T12:46:20  7.743e-04  2.933e-03  0.000e+00
  158  2015-11-18T12:46:20  7.724e-04  2.929e-03  0.000e+00
  159  2015-11-18T12:46:20  7.692e-04  2.923e-03  0.000e+00
  160  2015-11-18T12:46:20  7.641e-04  2.914e-03  0.000e+00
  161  2015-11-18T12:46:20  7.561e-04  2.898e-03  0.000e+00
  162  2015-11-18T12:46:20  7.423e-04  2.872e-03  0.000e+00
  163  2015-11-18T12:46:20  7.180e-04  2.825e-03  0.000e+00
  164  2015-11-18T12:46:20  6.760e-04  2.741e-03  0.000e+00
  165  2015-11-18T12:46:20  6.119e-04  2.608e-03  0.000e+00
  166  2015-11-18T12:46:20  5.636e-04  2.503e-03  0.000e+00
  167  2015-11-18T12:46:20  5.763e-04  2.530e-03  0.000e+00
  168  2015-11-18T12:46:20  5.428e-04  2.456e-03  0.000e+00
  169  2015-11-18T12:46:20  5.235e-04  2.412e-03  0.000e+00
  170  2015-11-18T12:46:20  5.179e-04  2.399e-03  0.000e+00
  171  2015-11-18T12:46:20  5.096e-04  2.380e-03  0.000e+00
  172  2015-11-18T12:46:20  5.064e-04  2.372e-03  0.000e+00
  173  2015-11-18T12:46:20  5.061e-04  2.371e-03  0.000e+00
  174  2015-11-18T12:46:20  5.057e-04  2.370e-03  0.000e+00
  175  2015-11-18T12:46:20  5.048e-04  2.368e-03  0.000e+00
  176  2015-11-18T12:46:20  5.037e-04  2.366e-03  0.000e+00
  177  2015-11-18T12:46:20  5.028e-04  2.364e-03  0.000e+00
  178  2015-11-18T12:46:20  5.020e-04  2.362e-03  0.000e+00
  179  2015-11-18T12:46:20  5.010e-04  2.359e-03  0.000e+00
  180  2015-11-18T12:46:20  5.000e-04  2.357e-03  0.000e+00
  181  2015-11-18T12:46:20  4.982e-04  2.353e-03  0.000e+00
  182  2015-11-18T12:46:20  4.950e-04  2.345e-03  0.000e+00
  183  2015-11-18T12:46:20  4.893e-04  2.332e-03  0.000e+00
  184  2015-11-18T12:46:20  4.798e-04  2.309e-03  0.000e+00
  185  2015-11-18T12:46:20  4.676e-04  2.279e-03  0.000e+00
  186  2015-11-18T12:46:20  4.554e-04  2.249e-03  0.000e+00
  187  2015-11-18T12:46:20  4.418e-04  2.216e-03  0.000e+00
  188  2015-11-18T12:46:20  4.250e-04  2.173e-03  0.000e+00
  189  2015-11-18T12:46:20  4.155e-04  2.149e-03  0.000e+00
  190  2015-11-18T12:46:20  4.054e-04  2.122e-03  0.000e+00
  191  2015-11-18T12:46:20  4.002e-04  2.109e-03  0.000e+00
  192  2015-11-18T12:46:20  3.920e-04  2.087e-03  0.000e+00
  193  2015-11-18T12:46:21  3.827e-04  2.062e-03  0.000e+00
  194  2015-11-18T12:46:21  3.727e-04  2.035e-03  0.000e+00
  195  2015-11-18T12:46:21  3.659e-04  2.016e-03  0.000e+00
  196  2015-11-18T12:46:21  3.589e-04  1.997e-03  0.000e+00
  197  2015-11-18T12:46:21  3.511e-04  1.975e-03  0.000e+00
  198  2015-11-18T12:46:21  3.505e-04  1.973e-03  0.000e+00
  199  2015-11-18T12:46:21  3.466e-04  1.962e-03  0.000e+00
Saving checkpoint data.
  200  2015-11-18T12:46:21  3.402e-04  1.944e-03  0.000e+00
  201  2015-11-18T12:46:21  3.316e-04  1.920e-03  0.000e+00
  202  2015-11-18T12:46:21  3.254e-04  1.901e-03  0.000e+00
  203  2015-11-18T12:46:21  3.209e-04  1.888e-03  0.000e+00
  204  2015-11-18T12:46:21  3.239e-04  1.897e-03  0.000e+00
  205  2015-11-18T12:46:21  3.182e-04  1.880e-03  0.000e+00
  206  2015-11-18T12:46:21  3.156e-04  1.873e-03  0.000e+00
  207  2015-11-18T12:46:21  3.133e-04  1.866e-03  0.000e+00
  208  2015-11-18T12:46:21  3.101e-04  1.856e-03  0.000e+00
  209  2015-11-18T12:46:21  3.066e-04  1.846e-03  0.000e+00
  210  2015-11-18T12:46:21  3.021e-04  1.832e-03  0.000e+00
  211  2015-11-18T12:46:21  2.979e-04  1.819e-03  0.000e+00
  212  2015-11-18T12:46:21  2.939e-04  1.807e-03  0.000e+00
  213  2015-11-18T12:46:21  2.910e-04  1.798e-03  0.000e+00
  214  2015-11-18T12:46:21  2.901e-04  1.795e-03  0.000e+00
  215  2015-11-18T12:46:21  2.889e-04  1.792e-03  0.000e+00
  216  2015-11-18T12:46:21  2.879e-04  1.788e-03  0.000e+00
  217  2015-11-18T12:46:21  2.864e-04  1.784e-03  0.000e+00
  218  2015-11-18T12:46:21  2.841e-04  1.777e-03  0.000e+00
  219  2015-11-18T12:46:21  2.832e-04  1.774e-03  0.000e+00
  220  2015-11-18T12:46:21  2.827e-04  1.772e-03  0.000e+00
  221  2015-11-18T12:46:21  2.803e-04  1.765e-03  0.000e+00
  222  2015-11-18T12:46:21  2.766e-04  1.753e-03  0.000e+00
  223  2015-11-18T12:46:21  2.714e-04  1.737e-03  0.000e+00
  224  2015-11-18T12:46:21  2.857e-04  1.782e-03  0.000e+00
  225  2015-11-18T12:46:21  2.690e-04  1.729e-03  0.000e+00
  226  2015-11-18T12:46:21  2.656e-04  1.718e-03  0.000e+00
  227  2015-11-18T12:46:21  2.608e-04  1.702e-03  0.000e+00
  228  2015-11-18T12:46:21  2.586e-04  1.695e-03  0.000e+00
  229  2015-11-18T12:46:21  2.564e-04  1.688e-03  0.000e+00
