Amp: Atomistic Machine-learning Package
Developed by Andrew Peterson, Alireza Khorshidi, and others,
Brown University.
 PI Website: http://brown.edu/go/catalyst
 Official repository: http://bitbucket.org/andrewpeterson/amp
 Official documentation: http://amp.readthedocs.org/
======================================================================
User: jboes
Hostname: gilgamesh.cheme.cmu.edu
Date: 2016-06-27T16:00:34
Architecture: x86_64
PID: 5620
Version: 0.4
Python: v2.7.6: /opt/kitchingroup/CANOPY/Canopy_64bit/User/bin/python
Amp: /home-research/jboes/python/amp
ASE v3.11.0: /home-research/jboes/python/ase/ase
NumPy v1.8.1: /opt/kitchingroup/CANOPY/Canopy_64bit/User/lib/python2.7/site-packages/numpy
SciPy v0.14.0: /opt/kitchingroup/CANOPY/Canopy_64bit/User/lib/python2.7/site-packages/scipy
======================================================================
Amp training started. 2016-06-27T16:00:34

Local environment descriptor: Gaussian
Regression: NeuralNetwork

Parallel processing over 1 cores.

Training on 49 images.
Hashing images...
 49 unique images after hashing.
 ...hashing completed. 0.0 min.
1 unique elements included: Pd
Symmetry functions for each element:
 Pd: 8
Hidden-layer structure:
 Pd: [2, 3]
Initial weights already present.
Initial scalings already present.
Calculating atomic fingerprints...
 Saved fingerprints file networks/fingerprints.db loaded with 49 entries. 0.0 min.
 Calculating 0 of 49 fingerprints (49 exist in file).
 ...all fingerprint operations complete. 0.0 min.
Updated fingerprints range from saved version; this is a temporary bug fix. With this the first iteration of the training neural network will *not* give identical results to the saved version if the fingerprints_range has changed.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.
Initial parameters saved in file networks/db0/3-3/initial-parameters.json.

Starting optimization of cost function...
 Energy goal: 1.000e-03
 No force training.
Step              Time               Cost     RMS (Energy
                                    Function    per Atom)
                                                 Error
=====  ==========================  =========  ==========
  153        2016-06-27T16:00:41  1.061e-04    1.471e-03
  154        2016-06-27T16:00:41  1.059e-04    1.470e-03
  155        2016-06-27T16:00:41  1.057e-04    1.468e-03
  156        2016-06-27T16:00:41  1.055e-04    1.467e-03
  157        2016-06-27T16:00:41  1.053e-04    1.466e-03
  158        2016-06-27T16:00:41  1.053e-04    1.466e-03
  159        2016-06-27T16:00:41  1.052e-04    1.465e-03
  160        2016-06-27T16:00:41  1.052e-04    1.465e-03
  161        2016-06-27T16:00:42  1.052e-04    1.465e-03
  162        2016-06-27T16:00:42  1.052e-04    1.465e-03
  163        2016-06-27T16:00:42  1.052e-04    1.465e-03
  164        2016-06-27T16:00:42  1.051e-04    1.465e-03
  165        2016-06-27T16:00:42  1.050e-04    1.464e-03
  166        2016-06-27T16:00:42  1.049e-04    1.463e-03
  167        2016-06-27T16:00:42  1.045e-04    1.461e-03
  168        2016-06-27T16:00:42  1.040e-04    1.457e-03
  169        2016-06-27T16:00:42  1.031e-04    1.451e-03
  170        2016-06-27T16:00:42  1.025e-04    1.446e-03
  171        2016-06-27T16:00:42  1.024e-04    1.446e-03
  172        2016-06-27T16:00:42  1.014e-04    1.439e-03
  173        2016-06-27T16:00:42  1.001e-04    1.429e-03
  174        2016-06-27T16:00:42  1.008e-04    1.435e-03
  175        2016-06-27T16:00:42  9.928e-05    1.423e-03
  176        2016-06-27T16:00:42  9.868e-05    1.419e-03
  177        2016-06-27T16:00:42  9.818e-05    1.416e-03
  178        2016-06-27T16:00:42  9.765e-05    1.412e-03
  179        2016-06-27T16:00:42  9.770e-05    1.412e-03
  180        2016-06-27T16:00:42  9.748e-05    1.410e-03
  181        2016-06-27T16:00:43  9.720e-05    1.408e-03
  182        2016-06-27T16:00:43  9.678e-05    1.405e-03
  183        2016-06-27T16:00:43  9.649e-05    1.403e-03
  184        2016-06-27T16:00:43  9.612e-05    1.401e-03
  185        2016-06-27T16:00:43  9.598e-05    1.400e-03
  186        2016-06-27T16:00:43  9.578e-05    1.398e-03
  187        2016-06-27T16:00:43  9.556e-05    1.397e-03
  188        2016-06-27T16:00:43  9.549e-05    1.396e-03
  189        2016-06-27T16:00:43  9.545e-05    1.396e-03
  190        2016-06-27T16:00:43  9.530e-05    1.395e-03
  191        2016-06-27T16:00:43  9.520e-05    1.394e-03
  192        2016-06-27T16:00:43  9.518e-05    1.394e-03
  193        2016-06-27T16:00:43  9.514e-05    1.393e-03
  194        2016-06-27T16:00:43  9.510e-05    1.393e-03
  195        2016-06-27T16:00:43  9.505e-05    1.393e-03
  196        2016-06-27T16:00:43  9.496e-05    1.392e-03
  197        2016-06-27T16:00:43  9.482e-05    1.391e-03
  198        2016-06-27T16:00:43  9.461e-05    1.390e-03
  199        2016-06-27T16:00:43  9.441e-05    1.388e-03
Saving checkpoint data.
  200        2016-06-27T16:00:43  9.407e-05    1.386e-03
  201        2016-06-27T16:00:44  9.354e-05    1.382e-03
  202        2016-06-27T16:00:44  9.296e-05    1.377e-03
  203        2016-06-27T16:00:44  9.252e-05    1.374e-03
  204        2016-06-27T16:00:44  9.181e-05    1.369e-03
  205        2016-06-27T16:00:44  9.060e-05    1.360e-03
  206        2016-06-27T16:00:44  8.860e-05    1.345e-03
  207        2016-06-27T16:00:44  8.564e-05    1.322e-03
  208        2016-06-27T16:00:44  8.594e-05    1.324e-03
  209        2016-06-27T16:00:44  8.442e-05    1.313e-03
  210        2016-06-27T16:00:44  8.281e-05    1.300e-03
  211        2016-06-27T16:00:44  8.191e-05    1.293e-03
  212        2016-06-27T16:00:44  8.105e-05    1.286e-03
  213        2016-06-27T16:00:44  8.076e-05    1.284e-03
  214        2016-06-27T16:00:44  8.044e-05    1.281e-03
  215        2016-06-27T16:00:44  8.002e-05    1.278e-03
  216        2016-06-27T16:00:44  7.936e-05    1.273e-03
  217        2016-06-27T16:00:44  7.851e-05    1.266e-03
  218        2016-06-27T16:00:44  7.745e-05    1.257e-03
  219        2016-06-27T16:00:44  7.771e-05    1.259e-03
  220        2016-06-27T16:00:44  7.668e-05    1.251e-03
  221        2016-06-27T16:00:44  7.612e-05    1.246e-03
  222        2016-06-27T16:00:44  7.524e-05    1.239e-03
  223        2016-06-27T16:00:45  7.501e-05    1.237e-03
  224        2016-06-27T16:00:45  7.468e-05    1.235e-03
  225        2016-06-27T16:00:45  7.374e-05    1.227e-03
  226        2016-06-27T16:00:45  7.283e-05    1.219e-03
  227        2016-06-27T16:00:45  7.147e-05    1.208e-03
  228        2016-06-27T16:00:45  7.030e-05    1.198e-03
  229        2016-06-27T16:00:45  6.949e-05    1.191e-03
  230        2016-06-27T16:00:45  6.933e-05    1.189e-03
  231        2016-06-27T16:00:45  6.808e-05    1.179e-03
  232        2016-06-27T16:00:45  6.716e-05    1.171e-03
  233        2016-06-27T16:00:45  6.647e-05    1.165e-03
  234        2016-06-27T16:00:45  6.542e-05    1.155e-03
  235        2016-06-27T16:00:45  6.432e-05    1.146e-03
  236        2016-06-27T16:00:45  6.338e-05    1.137e-03
  237        2016-06-27T16:00:45  6.217e-05    1.126e-03
  238        2016-06-27T16:00:45  6.470e-05    1.149e-03
  239        2016-06-27T16:00:45  6.184e-05    1.123e-03
  240        2016-06-27T16:00:45  6.148e-05    1.120e-03
  241        2016-06-27T16:00:45  6.121e-05    1.118e-03
  242        2016-06-27T16:00:45  6.100e-05    1.116e-03
  243        2016-06-27T16:00:46  6.077e-05    1.114e-03
  244        2016-06-27T16:00:46  6.055e-05    1.112e-03
  245        2016-06-27T16:00:46  6.023e-05    1.109e-03
  246        2016-06-27T16:00:46  5.973e-05    1.104e-03
  247        2016-06-27T16:00:46  5.912e-05    1.098e-03
  248        2016-06-27T16:00:46  5.982e-05    1.105e-03
  249        2016-06-27T16:00:46  5.892e-05    1.097e-03
  250        2016-06-27T16:00:46  5.876e-05    1.095e-03
  251        2016-06-27T16:00:46  5.868e-05    1.094e-03
  252        2016-06-27T16:00:46  5.859e-05    1.093e-03
  253        2016-06-27T16:00:46  5.853e-05    1.093e-03
  254        2016-06-27T16:00:46  5.845e-05    1.092e-03
  255        2016-06-27T16:00:46  5.840e-05    1.092e-03
  256        2016-06-27T16:00:46  5.834e-05    1.091e-03
