 Step                 Time   Function       RMSE       RMSE
=====  ===================  =========  =========  =========
  208  2015-11-18T15:59:14  1.583e-03  4.194e-03  0.000e+00
  209  2015-11-18T15:59:14  1.578e-03  4.187e-03  0.000e+00
  210  2015-11-18T15:59:14  1.570e-03  4.177e-03  0.000e+00
  211  2015-11-18T15:59:14  1.557e-03  4.160e-03  0.000e+00
  212  2015-11-18T15:59:14  1.536e-03  4.132e-03  0.000e+00
  213  2015-11-18T15:59:14  1.506e-03  4.090e-03  0.000e+00
  214  2015-11-18T15:59:14  1.481e-03  4.056e-03  0.000e+00
  215  2015-11-18T15:59:14  1.449e-03  4.013e-03  0.000e+00
  216  2015-11-18T15:59:14  1.411e-03  3.960e-03  0.000e+00
  217  2015-11-18T15:59:14  1.391e-03  3.932e-03  0.000e+00
  218  2015-11-18T15:59:14  1.367e-03  3.897e-03  0.000e+00
  219  2015-11-18T15:59:14  1.355e-03  3.880e-03  0.000e+00
  220  2015-11-18T15:59:14  1.343e-03  3.862e-03  0.000e+00
  221  2015-11-18T15:59:15  1.332e-03  3.847e-03  0.000e+00
  222  2015-11-18T15:59:15  1.324e-03  3.835e-03  0.000e+00
  223  2015-11-18T15:59:15  1.325e-03  3.838e-03  0.000e+00
  224  2015-11-18T15:59:15  1.322e-03  3.832e-03  0.000e+00
  225  2015-11-18T15:59:15  1.320e-03  3.830e-03  0.000e+00
  226  2015-11-18T15:59:15  1.319e-03  3.828e-03  0.000e+00
  227  2015-11-18T15:59:15  1.319e-03  3.828e-03  0.000e+00
  228  2015-11-18T15:59:15  1.318e-03  3.827e-03  0.000e+00
  229  2015-11-18T15:59:15  1.318e-03  3.826e-03  0.000e+00
  230  2015-11-18T15:59:15  1.317e-03  3.825e-03  0.000e+00
  231  2015-11-18T15:59:15  1.315e-03  3.823e-03  0.000e+00
  232  2015-11-18T15:59:15  1.314e-03  3.821e-03  0.000e+00
  233  2015-11-18T15:59:15  1.312e-03  3.818e-03  0.000e+00
  234  2015-11-18T15:59:15  1.310e-03  3.815e-03  0.000e+00
  235  2015-11-18T15:59:15  1.307e-03  3.810e-03  0.000e+00
  236  2015-11-18T15:59:15  1.303e-03  3.804e-03  0.000e+00
  237  2015-11-18T15:59:15  1.301e-03  3.802e-03  0.000e+00
  238  2015-11-18T15:59:15  1.299e-03  3.799e-03  0.000e+00
  239  2015-11-18T15:59:15  1.298e-03  3.797e-03  0.000e+00
  240  2015-11-18T15:59:15  1.295e-03  3.793e-03  0.000e+00
  241  2015-11-18T15:59:15  1.289e-03  3.785e-03  0.000e+00
